Category,Item_Code,Price,Quantity
2,aos,0.084,150960
2,fb,0.054,2
2,fb,0.066,1
2,fb,0.067,1106
2,fb,0.072,662
2,fb,0.082,5
2,fb,0.087,1
2,fb,0.126,244
2,fb,0.168,5842
2,fb,0.335,5140
2,vi,0.014,672
2,vi,0.019,609
2,vi,0.036,5
2,vi,0.116,1
2,vi,0.335,11696
2,dh,0.038,467
2,dh,0.093,105
2,dh,0.094,1
2,dh,0.116,1
2,dh,0.216,244
2,dh,0.29,5842
2,dh,0.335,5694
2,ds,0.008,601
2,ds,0.014,671
2,ds,0.046,5
2,ds,0.067,2
2,ds,0.116,1
2,ds,0.198,244
2,ds,0.264,5836
2,ds,0.502,5851
2,tg,1.507,22634
2,tg,3.304,538
2,tg,3.316,5694
2,hw,0.047,5
2,hw,0.052,72
2,hw,0.068,4986
2,hw,0.12,1
2,hw,0.196,1
2,hw,0.502,5528
2,ig,0.04,5000
2,ig,0.054,2
2,ig,0.067,1095
2,ig,0.075,779
2,ig,0.078,268
2,ig,0.098,1
2,ig,0.143,11119
2,im,0.034,465
2,im,0.103,137
2,im,0.116,1
2,im,0.171,244
2,im,0.228,5800
2,im,0.502,405
2,oi,0.064,6
2,oi,0.118,803
2,oi,0.126,811
2,oi,0.147,5
2,oi,0.187,2
2,oi,0.196,1
2,oi,0.251,244
2,oi,0.328,5710
2,oi,0.502,5127
2,lf,0.024,421
2,lf,0.111,214
2,lf,0.116,1
2,lf,0.147,5812
2,lf,0.502,5862
2,am,0.045,797
2,am,0.094,2
2,am,0.098,1
2,am,0.118,11533
2,uk,0.006,554
2,uk,0.079,11610
2,bz,0.038,779
2,bz,0.047,5
2,bz,0.096,34
2,bz,0.116,3839
2,bz,0.502,5586
2,wa,0.303,2579
2,wa,0.634,2582
2,wa,2.165,464
2,wa,5.526,5
2,wa,10.316,10767
2,ts,0.07,731
2,ts,0.158,5
2,ts,0.187,1
2,ts,0.239,202
2,ts,0.264,5800
2,ts,0.39,1
2,ts,0.502,5615
2,mt,0.047,490
2,mt,0.116,1
2,mt,0.168,156
2,mt,0.185,661
2,mt,0.206,5634
2,mt,0.502,5103
2,go,0.067,410
2,go,0.094,1
2,go,0.101,1
2,go,0.11,771
2,go,0.118,701
2,go,0.196,1
2,go,0.335,11172
2,wb,0.083,537
2,wb,0.136,5
2,wb,0.488,244
2,wb,0.651,5842
2,wb,1.208,5450
2,wx,0.043,655
2,wx,0.063,5
2,wx,0.067,574
2,wx,0.089,74
2,wx,0.119,5558
2,wx,0.215,1
2,wx,0.502,5113
2,sn,0.098,1
2,sn,0.117,1
2,sn,0.188,762
2,sn,0.627,10407
2,bw,0.006,619
2,bw,0.043,98
2,bw,0.046,11357
2,mm,0.014,686
2,mm,0.023,476
2,mm,0.038,226
